iteration,objective,destroy_op,repair_op,accepted,new_best,time_sec,temperature
0,4839.100131553036,0,1,True,True,0.3835279310005717,25.0
1,4646.057216448735,2,0,True,True,1.367399974995351,24.75
2,4648.004913524468,2,1,False,False,1.2724477640003897,24.75
3,4579.066871248589,0,1,True,True,1.1936734400005662,24.75
4,4478.126433500189,0,0,True,True,1.5058705670016934,24.75
5,4086.0021850834833,1,1,True,True,1.4101257130023441,24.75
6,4054.0027726722947,2,1,True,True,1.2514725219953107,24.75
7,4172.009396888178,0,1,False,False,1.416706942000019,24.75
8,4067.1651785708914,1,1,False,False,1.2899554710020311,24.75
9,4067.1651785708914,1,1,True,False,1.2949601979998988,24.75
10,4146.153657852043,2,1,False,False,1.3702322949975496,24.75
11,4060.0578610715015,2,1,True,False,1.8362445689999731,24.75
12,3931.010879949593,0,0,True,True,1.507870951994846,24.75
13,3942.0236714794673,2,1,False,False,1.474335177001194,24.75
14,4058.038597407689,2,1,False,False,1.7713893500040285,24.75
15,3831.0000021503674,2,0,True,True,1.6211049519988592,24.75
16,4015.0039640248724,0,1,False,False,2.233237704000203,24.75
17,3833.0003630287874,2,0,True,False,1.4912708470001235,24.75
18,3992.000641641004,0,1,False,False,1.8733557669984293,24.75
19,4076.0021958175935,2,1,False,False,1.7262265079989447,24.75
20,3808.000034822714,0,0,True,True,2.0434493809952983,24.75
21,3777.000002212295,2,0,True,True,1.7422887599968817,24.75
22,3752.0015154345233,2,0,True,True,1.7720307819981826,24.75
23,3872.0091670162983,2,1,False,False,1.8296803300036117,24.75
24,3735.0009976555957,0,0,True,True,1.788694326998666,24.75
25,3597.0058555500004,1,0,True,True,1.5122637909953482,24.75
26,3531.073844206087,1,0,True,True,1.614106779001304,24.75
27,3742.1229323484135,1,1,False,False,1.4994488520023879,24.75
28,3789.3994573222135,2,1,False,False,1.6320403200006695,24.75
29,3494.038431000121,2,0,True,True,1.8890064030056237,24.75
30,3535.07367757495,2,0,False,False,1.8931212370007415,24.75
31,3639.0048253798263,1,1,False,False,1.704768674004299,24.75
32,3763.1420204415326,0,1,False,False,1.6721172769975965,24.75
33,3639.0048253798263,1,1,False,False,1.681159514002502,24.75
34,3810.2210722030304,0,1,False,False,1.872776944997895,24.75
35,3639.0048253798263,1,1,False,False,1.708334779003053,24.75
36,3683.0168011940127,2,1,False,False,2.1680119289958384,24.75
37,3577.027170876922,0,0,False,False,1.8861046669990174,24.75
38,3886.42128114052,2,1,False,False,2.0368131430004723,24.75
39,3639.0048253798263,1,1,False,False,1.6783051189995604,24.75
40,3639.0048253798263,1,1,False,False,1.6609726200040313,24.75
41,3488.125056162555,1,0,True,True,1.6946154679972096,24.75
42,3665.149680573114,1,1,False,False,1.7663482779971673,24.75
43,3713.5081878425012,0,1,False,False,1.9167979990015738,24.75
44,3473.018893186601,1,0,True,True,1.7645385619980516,24.75
45,3748.008633807945,0,1,False,False,2.009607453001081,24.75
46,3644.073450316581,1,1,False,False,1.704112917999737,24.75
47,3494.085399867333,2,0,False,False,1.6520360419963254,24.75
48,3869.0832718621295,0,1,False,False,1.7626319470000453,24.75
49,3960.000804999362,0,1,False,False,1.8205830799997784,24.75
50,3462.03418392391,0,0,True,True,1.7424962429940933,24.75
51,3403.0070868936486,1,0,True,True,1.5239221259980695,24.75
52,3384.125710192314,1,0,True,True,1.420236024998303,24.75
53,3353.141476303422,0,0,True,True,1.6834089690019027,24.75
54,3542.0,1,1,False,False,1.2799622940001427,24.75
55,3727.08971973413,0,1,False,False,1.5261382159951609,24.75
56,3334.072518148027,1,0,True,True,1.4351857300061965,24.75
57,3368.136526192017,0,0,False,False,1.560234461001528,24.75
58,3621.4737254048205,0,1,False,False,1.9377905920046032,24.75
59,3334.072518148027,1,0,True,False,1.3966898159997072,24.75
60,3334.072518148027,0,0,True,False,1.912960061999911,24.75
61,3312.0908957817396,0,0,True,True,1.4907769440033007,24.75
62,3302.0444441090326,1,0,True,True,1.3055605650006328,24.75
63,3284.0328465827556,1,0,True,True,1.285669662996952,24.75
64,3496.057993309005,1,1,False,False,1.3347793729990372,24.75
65,3609.077446580442,0,1,False,False,1.4783053630017093,24.75
66,3282.0341379413953,0,0,True,True,1.5051541800057748,24.75
67,3694.0240443232447,0,1,False,False,1.6512669439980527,24.75
68,3281.0059356443853,2,0,True,True,1.2694416209997144,24.75
69,3325.004797946263,1,0,False,False,1.208831766001822,24.75
70,3325.004797946263,1,0,False,False,1.2061599500011653,24.75
71,3256.0171853679803,0,0,True,True,1.5487707700012834,24.75
72,3609.1424332322167,0,1,False,False,1.3937003280007048,24.75
73,3455.0789306318047,1,1,False,False,1.3883963970001787,24.75
74,3421.0070125292996,2,1,False,False,1.5667835659987759,24.75
75,3455.0789306318047,1,1,False,False,1.3877635969984112,24.75
76,3719.2191689011856,2,1,False,False,1.3582164579929668,24.75
77,3615.000195615254,0,1,False,False,1.7060908130006283,24.75
78,3455.0789306318047,1,1,False,False,1.3955695740005467,24.75
79,3255.037989957196,0,0,True,True,1.5538413579997723,24.75
80,3255.0303570673555,2,0,True,True,1.620488143998955,24.75
81,3522.405871918134,1,1,False,False,1.3144187340003555,24.75
82,3577.199085922706,0,1,False,False,1.7671211650012992,24.75
83,3547.005540310272,0,1,False,False,1.6788697140000295,24.75
84,3219.0570624262455,0,0,True,True,1.4808174580030027,24.75
85,3253.0341088282976,0,0,False,False,1.5673158909994527,24.75
86,3432.009011029378,1,1,False,False,1.4920694120010012,24.75
87,3501.003915868487,0,1,False,False,1.473829733004095,24.75
88,3486.4686752284892,2,1,False,False,1.340251838999393,24.75
89,3199.009326217447,1,0,True,True,1.3435115799948107,24.75
90,3508.106368237596,0,1,False,False,1.7865250460017705,24.75
91,3674.00270258482,0,1,False,False,1.7713954149949132,24.75
92,3184.016129980755,0,0,True,True,1.7596252560033463,24.75
93,3185.0194046224083,0,0,True,False,1.5102882419960224,24.75
94,3501.0194770497455,2,1,False,False,1.4032360990022426,24.75
95,3312.0033255877124,1,1,False,False,1.417186345999653,24.75
96,3312.0033255877124,1,1,False,False,1.4470931330070016,24.75
97,3224.000012145258,1,0,False,False,1.319827402003284,24.75
98,3312.0033255877124,1,1,False,False,1.438841686998785,24.75
99,3589.018534183601,0,1,False,False,1.4413587609960814,24.75
100,3444.0108948362745,0,1,False,False,1.6980943899980048,24.75
101,3233.009131146133,0,0,False,False,1.5485697829935816,24.5025
102,3181.017534396654,0,0,True,True,1.6606043279971345,24.5025
103,3188.0389045791385,2,0,True,False,1.3042181769997114,24.5025
104,3189.0368276387153,0,0,True,False,1.493479185999604,24.5025
105,3170.0136747099646,2,0,True,True,1.583255684003234,24.5025
106,3140.0000512149763,1,0,True,True,1.2624665730036213,24.5025
107,3139.000080074322,0,0,True,True,1.4947612180039869,24.5025
108,3163.0125154782845,2,0,False,False,1.6149830499998643,24.5025
109,3133.0011606664593,0,0,True,True,1.678072484995937,24.5025
110,3133.0011606664593,1,0,True,False,1.3665785450066323,24.5025
111,3133.0011606664593,1,0,True,False,1.3661703859979752,24.5025
112,3133.0011606664593,0,0,True,False,1.464338575999136,24.5025
113,3133.0011606664593,0,0,True,False,1.5356820230008452,24.5025
114,3133.0011606664593,1,0,True,False,1.3697521389985923,24.5025
115,3156.002483961643,2,0,False,False,1.5062755969993304,24.5025
116,3144.0002043379736,2,0,True,False,1.3601236719987355,24.5025
117,3133.0011606664593,1,0,True,False,1.261207553994609,24.5025
118,3129.0000290113526,0,0,True,True,1.646920320999925,24.5025
119,3129.0035099864886,0,0,True,False,1.5393512750015361,24.5025
120,3152.0003176582986,0,0,False,False,1.2886914269984118,24.5025
121,3120.0124577531637,2,0,True,True,1.5108020390034653,24.5025
122,3172.096863685725,2,0,False,False,1.3629834329985897,24.5025
123,3111.0091571996245,1,0,True,True,1.3408067310010665,24.5025
124,3165.0360297323455,2,0,False,False,1.56471669000166,24.5025
125,3157.0016750217565,0,0,False,False,1.4957501250028145,24.5025
126,3111.0091571996245,1,0,True,False,1.3300235509959748,24.5025
127,3111.0091571996245,1,0,True,False,1.3423427379966597,24.5025
128,3111.0091571996245,0,0,True,False,1.6564871250011493,24.5025
129,3142.0015472080036,0,0,False,False,1.3964933909956017,24.5025
130,3111.0091571996245,1,0,True,False,1.3248891539988108,24.5025
131,3107.0416905184634,2,0,True,True,1.3607981999957701,24.5025
132,3088.044471930633,1,0,True,True,1.3248275880032452,24.5025
133,3088.044471930633,1,0,True,False,1.324963156999729,24.5025
134,3088.044471930633,1,0,True,False,1.322860963002313,24.5025
135,3093.048226278507,0,0,True,False,1.4228583529984462,24.5025
136,3093.048226278507,0,0,True,False,1.4831535430057556,24.5025
137,3091.0467078297597,0,0,True,False,1.4194815049995668,24.5025
138,3102.0553322107075,0,0,True,False,1.4855956079991302,24.5025
139,3105.051065845816,0,0,True,False,1.5695514830003958,24.5025
140,3094.0427874972147,1,0,True,False,1.2150985459957155,24.5025
141,3114.0287316079653,0,0,False,False,1.4478812710003695,24.5025
142,3094.0427874972147,1,0,True,False,1.2097899649961619,24.5025
143,3103.036095665043,2,0,True,False,1.4394497250032146,24.5025
144,3094.0427874972147,0,0,True,False,1.4737434969938477,24.5025
145,3126.1137383111627,0,0,False,False,1.5133327399962582,24.5025
146,3077.0167945174535,2,0,True,True,1.258915253005398,24.5025
147,3184.0274832585833,2,0,False,False,1.3042038990024594,24.5025
148,3098.0151978728272,2,0,False,False,1.397638813003141,24.5025
149,3088.0119102529484,0,0,True,False,1.3926443559976178,24.5025
150,3126.0196371267625,2,0,False,False,1.4842300320015056,24.5025
151,3104.0063403271142,1,0,True,False,1.1956134940046468,24.5025
152,3104.0063403271142,1,0,True,False,1.2132127860022592,24.5025
153,3104.0063403271142,1,0,True,False,1.223534083001141,24.5025
154,3104.0063403271142,0,0,True,False,1.2092781100000138,24.5025
155,3104.0063403271142,1,0,True,False,1.2067701400010264,24.5025
156,3126.0015630860917,0,0,True,False,1.1586340659996495,24.5025
157,3126.0015630860917,0,0,True,False,1.291019556003448,24.5025
158,3126.0015630860917,1,0,True,False,1.1307313290017191,24.5025
159,3146.00005101981,0,0,False,False,1.3352457509972737,24.5025
160,3177.0000781702493,0,0,False,False,1.1371355780065642,24.5025
161,3124.001293472309,0,0,True,False,1.4750033450036426,24.5025
162,3126.0015630860917,1,0,True,False,1.1331656979964464,24.5025
163,3170.019096105971,2,0,True,False,1.2782521629997063,24.5025
164,3173.0639716751293,0,0,True,False,1.1059442210025736,24.5025
165,3173.0639716751293,0,0,True,False,1.2459124729939504,24.5025
166,3170.0265600250723,0,0,True,False,1.3045886030013207,24.5025
167,3212.000195777691,0,0,False,False,1.366307496005902,24.5025
168,3223.017080626716,2,0,False,False,1.183596609000233,24.5025
